Pair.Name	Ligand	Receptor	Source	Databases	Evidence	PMIDs
AGRP_MC4R	AGRP	MC4R	known	HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	9311920,9299416,10318826,11747427,12815165
AGRP_MC5R	AGRP	MC5R	known	IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9892020
AGRP_SDC3	AGRP	SDC3	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	11461706
AGT_AGTR1	AGT	AGTR1	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10993080,15930094,21464395,10193788,12006574,15930094
AGT_AGTR2	AGT	AGTR2	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	8315512,8185599,17138938,21464395,2775266,7850406,8242249,8185599
AGT_LRP2	AGT	LRP2	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	15467006
AGT_MAS1	AGT	MAS1	known	HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12829792
AHSG_INSR	AHSG	INSR	novel	HPRD,HPMR.Receptor	literature supported	7906861
ALB_LRP2	ALB	LRP2	novel	HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	11158855,8898021
AMELX_LAMP1	AMELX	LAMP1	novel		literature supported	20382373
AMELY_LAMP1	AMELY	LAMP1	novel		literature supported	20382373
AMH_ACVR1	AMH	ACVR1	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	14656470
AMH_AMHR2	AMH	AMHR2	known	DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	7997230,8889695
AMH_EGFR	AMH	EGFR	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	8596488
ANGPT1_ITGA5	ANGPT1	ITGA5	novel	HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	15781448
ANGPT1_ITGB1	ANGPT1	ITGB1	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
ANGPT1_TEK	ANGPT1	TEK	known	DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	8980223,9723709,8980223,12427764,8980224
ANGPT1_TIE1	ANGPT1	TIE1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	11172728
ANGPT2_TEK	ANGPT2	TEK	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	9204896,9723709
ANGPT2_TIE1	ANGPT2	TIE1	novel	STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	putative	
ANGPT4_TEK	ANGPT4	TEK	known	IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Receptor	literature supported	10051567
ANGPT4_TIE1	ANGPT4	TIE1	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
ANGPTL1_TEK	ANGPTL1	TEK	known	DLRP,HPRD,HPMR.Receptor	literature supported	10051567
ANGPTL2_TIE1	ANGPTL2	TIE1	novel	STRING.binding,HPMR.Receptor	putative	
ANGPTL3_ITGA5	ANGPTL3	ITGA5	novel	HPRD,HPMR.Receptor	literature supported	11877390
ANGPTL3_ITGAV	ANGPTL3	ITGAV	novel	HPRD,STRING.binding,HPMR.Receptor	literature supported	11877390
ANGPTL3_ITGB3	ANGPTL3	ITGB3	novel	HPRD,HPMR.Receptor	literature supported	11877390
ANGPTL4_TIE1	ANGPTL4	TIE1	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
ANXA1_DYSF	ANXA1	DYSF	novel	HPRD,STRING.binding,HPMR.Ligand	literature supported	14506282
ANXA1_EGFR	ANXA1	EGFR	novel	HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	15581623
ANXA1_FPR1	ANXA1	FPR1	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10882119,12560218
ANXA1_FPR2	ANXA1	FPR2	known	IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12368905,10882119,12560218,16278303
ANXA1_FPR3	ANXA1	FPR3	known	IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	15187149
APLN_APLNR	APLN	APLNR	known	HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	10617103,9792798,12603839,15341513,10777510,12939143,11336787
APOB_CALCR	APOB	CALCR	novel	STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	putative	
APOB_ITGAM	APOB	ITGAM	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
APOB_ITGB2	APOB	ITGB2	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
APOB_LDLR	APOB	LDLR	known	HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	11327878,12031600
APOB_LRP2	APOB	LRP2	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10330424
APOB_LRP6	APOB	LRP6	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
APOB_LRP8	APOB	LRP8	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
APOB_LSR	APOB	LSR	novel	STRING.binding,HPMR.Ligand	literature supported	7615497
APOB_OLR1	APOB	OLR1	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9763524
APOC3_SDC2	APOC3	SDC2	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
APOC3_TLR2	APOC3	TLR2	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
APOD_LEPR	APOD	LEPR	novel	HPRD,STRING.binding,HPMR.Receptor	literature supported	11344130
APOE_CHRNA4	APOE	CHRNA4	novel	STRING.binding,HPMR.Ligand	putative	
APOE_LDLR	APOE	LDLR	known	HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	11327878,12036962
APOE_LRP1	APOE	LRP1	novel	HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	11421580
APOE_LRP2	APOE	LRP2	novel	HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	11421580
APOE_LRP5	APOE	LRP5	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9832610)
APOE_LRP8	APOE	LRP8	known	HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	12950167,12167620,12950167
APOE_SCARB1	APOE	SCARB1	novel	HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12138091
APOE_SORL1	APOE	SORL1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	11294867
APOE_VLDLR	APOE	VLDLR	known	HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	12870663,12167620
APP_CAV1	APP	CAV1	novel	HPRD,	literature supported	9553108
APP_CD74	APP	CD74	novel		literature supported	19849849
APP_FPR2	APP	FPR2	known	IUPHAR,STRING.binding,HPMR.Receptor	literature supported	11316806,11160457
APP_GPC1	APP	GPC1	novel	HPRD,STRING.binding,HPMR.Receptor	literature supported	15084524
APP_LRP1	APP	LRP1	novel	HPRD,STRING.experiment,HPMR.Receptor	literature supported	12212791,7543026
APP_NCSTN	APP	NCSTN	novel	HPRD,HPMR.Receptor	literature supported	10993067
APP_NGFR	APP	NGFR	novel	STRING.binding,HPMR.Receptor	putative	
APP_SLC45A3	APP	SLC45A3	novel	STRING.binding,	putative	
APP_TNFRSF21	APP	TNFRSF21	novel	STRING.binding,HPMR.Receptor	literature supported	19225519
AREGB_EGFR	AREGB	EGFR	known	IUPHAR,HPMR.Receptor	literature supported	
AREGB_ERBB3	AREGB	ERBB3	novel	STRING.binding,HPMR.Receptor	putative	
AREG_EGFR	AREG	EGFR	known	DLRP,HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	2466334,10085134
AREG_ERBB3	AREG	ERBB3	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	8702723
ARF1_CHRM3	ARF1	CHRM3	novel	HPRD,HPMR.Receptor	literature supported	12799371
ARF1_INSR	ARF1	INSR	novel	HPRD,HPMR.Receptor	literature supported	9197239
ARF1_PLD2	ARF1	PLD2	known	IUPHAR,HPRD,STRING.binding,STRING.experiment,	literature supported	12519790,10801846
ARTN_GFRA1	ARTN	GFRA1	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9883723
ARTN_GFRA3	ARTN	GFRA3	known	HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	9883723
ARTN_RET	ARTN	RET	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	9883723
ASIP_ATRN	ASIP	ATRN	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	11137996
ASIP_F11R	ASIP	F11R	novel	HPRD,HPMR.Ligand	literature supported	11447115
ASIP_MC1R	ASIP	MC1R	known	HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12851328,9058374
ASIP_MC2R	ASIP	MC2R	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9058374
ASIP_MC3R	ASIP	MC3R	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9058374
ASIP_MC4R	ASIP	MC4R	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9058374
ASIP_MC5R	ASIP	MC5R	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9058374
AVP_AVPR1A	AVP	AVPR1A	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	1560825,8106369,8106369,9884074,9334232,10780976,9322919,12446593,9459574,15084136,9264324,10866830,9864265,10519430
AVP_AVPR1B	AVP	AVPR1B	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	7929452,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,16158071
AVP_AVPR2	AVP	AVPR2	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	11857925,9884074,10780976,9322919,12446593,9459574,15084136,9264324,9864265,10519430,7774575,11012895
AVP_OXTR	AVP	OXTR	known	IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12446593,15084136,10519430,7774575,11337500,16158071,7475979,8955347,7921229
AZGP1_ITGAV	AZGP1	ITGAV	novel	HPRD,HPMR.Receptor	literature supported	9813179
B2M_CD1A	B2M	CD1A	novel	HPRD,STRING.binding,STRING.experiment,	literature supported	12833155
B2M_CD1B	B2M	CD1B	novel	HPRD,STRING.binding,STRING.experiment,	literature supported	12118248
B2M_CD247	B2M	CD247	novel	STRING.binding,	putative	
B2M_CD3D	B2M	CD3D	novel	STRING.binding,	putative	
B2M_CD3G	B2M	CD3G	novel	STRING.binding,HPMR.Receptor	putative	
B2M_HFE	B2M	HFE	novel	HPRD,STRING.binding,STRING.experiment,HPMR.Receptor	literature supported	10791995
B2M_HLA-F	B2M	HLA-F	novel	HPRD,	literature supported	11169396
B2M_KIR2DL1	B2M	KIR2DL1	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
B2M_KIR2DL3	B2M	KIR2DL3	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
B2M_KIR3DL1	B2M	KIR3DL1	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
B2M_KLRC1	B2M	KLRC1	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
B2M_KLRD1	B2M	KLRD1	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
B2M_LILRB1	B2M	LILRB1	novel	HPRD,STRING.binding,STRING.experiment,HPMR.Receptor	literature supported	12897781
B2M_LILRB2	B2M	LILRB2	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
B2M_TFRC	B2M	TFRC	novel	STRING.binding,STRING.experiment,HPMR.Receptor	putative	
BCAN_EGFR	BCAN	EGFR	novel	STRING.binding,HPMR.Receptor	putative	
BCAN_NRCAM	BCAN	NRCAM	novel	STRING.binding,	putative	
BDNF_DDR1	BDNF	DDR1	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
BDNF_DRD4	BDNF	DRD4	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	putative	
BDNF_NGFR	BDNF	NGFR	known	DLRP,IUPHAR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	
BDNF_NGFRAP1	BDNF	NGFRAP1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	7644540
BDNF_NTRK2	BDNF	NTRK2	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	7644540,9312147
BDNF_SORT1	BDNF	SORT1	novel	HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	15987945
BGN_LY96	BGN	LY96	novel	STRING.binding,HPMR.Receptor	putative	
BGN_TLR1	BGN	TLR1	novel	STRING.binding,HPMR.Receptor	putative	
BGN_TLR2	BGN	TLR2	novel	STRING.binding,HPMR.Receptor	literature supported	16025156
BGN_TLR4	BGN	TLR4	novel	STRING.binding,HPMR.Receptor	literature supported	16025156
BMP10_ACVR1	BMP10	ACVR1	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP10_ACVR2A	BMP10	ACVR2A	known	DLRP,HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	16049014
BMP10_ACVR2B	BMP10	ACVR2B	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP10_ACVRL1	BMP10	ACVRL1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	17068149
BMP10_BMPR1A	BMP10	BMPR1A	known	DLRP,HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	16049014
BMP10_BMPR1B	BMP10	BMPR1B	known	DLRP,HPMR.Ligand,HPMR.Receptor	literature supported	16049014
BMP10_BMPR2	BMP10	BMPR2	known	DLRP,HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	16049014
BMP10_ENG	BMP10	ENG	novel		literature supported	21737454
BMP15_ACVR1	BMP15	ACVR1	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP15_ACVR2A	BMP15	ACVR2A	known	DLRP,HPMR.Ligand,HPMR.Receptor	literature supported	2419820
BMP15_ACVR2B	BMP15	ACVR2B	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP15_BMPR1A	BMP15	BMPR1A	known	DLRP,HPMR.Ligand,HPMR.Receptor	literature supported	2419820
BMP15_BMPR1B	BMP15	BMPR1B	known	DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12044914,12419820
BMP15_BMPR2	BMP15	BMPR2	known	DLRP,HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12419820
BMP2_ACVR1	BMP2	ACVR1	known	DLRP,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	8006002
BMP2_ACVR2A	BMP2	ACVR2A	known	DLRP,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	21702718
BMP2_ACVR2B	BMP2	ACVR2B	known	DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	15064755
BMP2_BMPR1A	BMP2	BMPR1A	known	DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12700180,11263668,10881198,10692589,15064755
BMP2_BMPR1B	BMP2	BMPR1B	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	12700180,7811286,9872992,15064755
BMP2_BMPR2	BMP2	BMPR2	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	11263668,10880444
BMP2_ENG	BMP2	ENG	novel	HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9872992
BMP2_HFE2	BMP2	HFE2	novel	STRING.binding,HPMR.Ligand	literature supported	18287331
BMP3_ACVR1	BMP3	ACVR1	known	DLRP,HPMR.Receptor	putative	
BMP3_ACVR2A	BMP3	ACVR2A	known	DLRP,STRING.binding,HPMR.Receptor	putative	
BMP3_ACVR2B	BMP3	ACVR2B	known	DLRP,HPMR.Receptor	literature supported	22074949
BMP3_BMPR1A	BMP3	BMPR1A	known	DLRP,HPMR.Receptor	putative	
BMP3_BMPR1B	BMP3	BMPR1B	known	DLRP,HPMR.Receptor	putative	
BMP3_BMPR2	BMP3	BMPR2	known	DLRP,HPMR.Receptor	putative	
BMP4_ACVR1	BMP4	ACVR1	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP4_ACVR2A	BMP4	ACVR2A	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP4_ACVR2B	BMP4	ACVR2B	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP4_BMPR1A	BMP4	BMPR1A	known	DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	8006002,11241215,8702914,7644468
BMP4_BMPR1B	BMP4	BMPR1B	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	8006002,11282024,8702914,7811286
BMP4_BMPR2	BMP4	BMPR2	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	7673243,7644468,8702914
BMP4_HFE2	BMP4	HFE2	novel	STRING.binding,HPMR.Ligand	putative	
BMP5_ACVR1	BMP5	ACVR1	known	DLRP,HPMR.Receptor	putative	
BMP5_ACVR2A	BMP5	ACVR2A	known	DLRP,HPMR.Receptor	putative	
BMP5_ACVR2B	BMP5	ACVR2B	known	DLRP,HPMR.Receptor	putative	
BMP5_BMPR1A	BMP5	BMPR1A	known	DLRP,HPRD,HPMR.Receptor	literature supported	11580864
BMP5_BMPR1B	BMP5	BMPR1B	known	DLRP,HPMR.Receptor	putative	
BMP5_BMPR2	BMP5	BMPR2	known	DLRP,HPMR.Receptor	putative	
BMP5_HFE2	BMP5	HFE2	novel	STRING.binding,	putative	
BMP6_ACVR1	BMP6	ACVR1	known	DLRP,HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	12297674
BMP6_ACVR2A	BMP6	ACVR2A	known	DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	10504300
BMP6_ACVR2B	BMP6	ACVR2B	known	DLRP,HPMR.Ligand,HPMR.Receptor	putative	
BMP6_BMPR1A	BMP6	BMPR1A	known	DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12297674,10504300,11401330
BMP6_BMPR1B	BMP6	BMPR1B	known	DLRP,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	10504300,11401330
BMP6_BMPR2	BMP6	BMPR2	known	DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	11401330
BMP7_ACVR1	BMP7	ACVR1	known	DLRP,HPMR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12297674,8006002
BMP7_ACVR2A	BMP7	ACVR2A	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	7790373,9748228,12667445
BMP7_ACVR2B	BMP7	ACVR2B	known	DLRP,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9748228
BMP7_BMPR1A	BMP7	BMPR1A	known	DLRP,HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12297674,7791754,8605097
BMP7_BMPR1B	BMP7	BMPR1B	known	DLRP,HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	10631182,8605097
BMP7_BMPR2	BMP7	BMPR2	known	DLRP,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	7791754
BMP7_ENG	BMP7	ENG	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9872992
BMP8B_ACVR1	BMP8B	ACVR1	known	DLRP,HPMR.Receptor	putative	
BMP8B_ACVR2A	BMP8B	ACVR2A	known	DLRP,HPMR.Receptor	putative	
BMP8B_ACVR2B	BMP8B	ACVR2B	known	DLRP,HPMR.Receptor	putative	
BMP8B_BMPR1A	BMP8B	BMPR1A	known	DLRP,HPMR.Receptor	putative	
BMP8B_BMPR1B	BMP8B	BMPR1B	known	DLRP,HPMR.Receptor	putative	
BMP8B_BMPR2	BMP8B	BMPR2	known	DLRP,HPMR.Receptor	putative	
BST1_CAV1	BST1	CAV1	novel	HPRD,	literature supported	11866528
BTC_EGFR	BTC	EGFR	known	DLRP,HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	8144591,9528863
BTC_ERBB2	BTC	ERBB2	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9662041
BTC_ERBB3	BTC	ERBB3	known	DLRP,HPMR.Ligand,HPMR.Receptor	literature supported	9312020
